era,n_team_seasons,offense_share_pct,pitching_share_pct,r2
1982-1989,52,47.1,52.9,0.706
1990s,79,49.2,50.8,0.831
2000s,80,43.6,56.4,0.833
2010s,92,48.3,51.7,0.827
2020-2021,20,49.0,51.0,0.857
